"Global_Time","Time","Target_Voltage","Measured_Voltage"
96,46,-4900,-4683.4296818335
97,47,-4900,-4658.8083473097
98,48,-4900,-4606.545708972
99,49,-4900,-4656.93770602666
100,50,-4900,-4576.16525066294
101,1,-4800,-4579.79530033032
102,2,-4800,-4399.98759489666
103,3,-4800,-4514.99217467173
104,4,-4800,-4528.82713648672
105,5,-4800,-4374.74405763683
106,6,-4800,-4632.83144267008
107,7,-4800,-4604.79530891974
108,8,-4800,-4371.45869779207
109,9,-4800,-4460.10051717181
110,10,-4800,-4506.5142272611
111,11,-4800,-4543.80406374341
112,12,-4800,-4552.25268098435
113,13,-4800,-4434.87491830986
114,14,-4800,-4540.93239454536
115,15,-4800,-4578.03378936225
116,16,-4800,-4579.52895100363
117,17,-4800,-4499.73573656307
118,18,-4800,-4529.05965682114
119,19,-4800,-4494.26714340823
120,20,-4800,-4550.52303919799
121,21,-4800,-4617.69524901799
122,22,-4800,-4538.20070007906
123,23,-4800,-4439.41502569593
124,24,-4800,-4520.69187599721
125,25,-4800,-4474.45660221727
126,26,-4800,-4416.99264854488
127,27,-4800,-4490.46179683071
128,28,-4800,-4495.32126973196
129,29,-4800,-4381.9700509979
130,30,-4800,-4394.35158459722
131,31,-4800,-4515.00634424709
132,32,-4800,-4535.64568863279
133,33,-4800,-4517.95252773988
134,34,-4800,-4614.38077085983
135,35,-4800,-4626.53052490135
136,36,-4800,-4539.7796714913
137,37,-4800,-4474.15732079717
138,38,-4800,-4513.87026041379
139,39,-4800,-4574.31614046913
140,40,-4800,-4450.87408900586
141,41,-4800,-4519.17980814151
142,42,-4800,-4458.86101216783
143,43,-4800,-4548.92884213027
144,44,-4800,-4360.68656697208
145,45,-4800,-4600.02280444089
146,46,-4800,-4519.48332119898
147,47,-4800,-4570.3007742668
148,48,-4800,-4674.79766881312
149,49,-4800,-4649.39325587613
150,50,-4800,-4547.9540328816
151,1,-4700,-4529.67645611361
152,2,-4700,-4405.74244831455
153,3,-4700,-4429.02116432866
154,4,-4700,-4323.07076363733
155,5,-4700,-4440.19235884136
156,6,-4700,-4343.59692606285
157,7,-4700,-4383.53562313595
158,8,-4700,-4400.12528958403
159,9,-4700,-4427.76086973715
160,10,-4700,-4502.22208362511
161,11,-4700,-4341.49012126656
162,12,-4700,-4487.51627254564
163,13,-4700,-4503.80561885052
164,14,-4700,-4549.97892135506
165,15,-4700,-4583.79961473729
166,16,-4700,-4460.1560180713
167,17,-4700,-4517.31293515793
168,18,-4700,-4542.91843016568
169,19,-4700,-4592.68019667437
170,20,-4700,-4505.05778134052
171,21,-4700,-4549.23936978195
172,22,-4700,-4461.97165758441
173,23,-4700,-4543.56162275512
174,24,-4700,-4723.31674686414
175,25,-4700,-4570.95535614685
176,26,-4700,-4537.60061074414
177,27,-4700,-4567.9076186769
178,28,-4700,-4480.5242407178
179,29,-4700,-4518.26383995932
180,30,-4700,-4637.78591614732
181,31,-4700,-4647.65085723321
182,32,-4700,-4557.39998904642
183,33,-4700,-4636.911960794
184,34,-4700,-4533.44575716703
185,35,-4700,-4552.45925942563
186,36,-4700,-4733.28000735488
187,37,-4700,-4540.76853038897
188,38,-4700,-4640.35214414936
189,39,-4700,-4688.45520026783
190,40,-4700,-4583.25268800423
191,41,-4700,-4581.13848845285
192,42,-4700,-4659.63231053841
193,43,-4700,-4644.42347726005
194,44,-4700,-4617.00940763665
195,45,-4700,-4579.96912031806
196,46,-4700,-4570.46655442247
197,47,-4700,-4722.16822356902
198,48,-4700,-4655.9511125387
199,49,-4700,-4673.21791772247
200,50,-4700,-4716.61814026697
201,1,-4600,-4602.8116002371
202,2,-4600,-4627.87803337437
203,3,-4600,-4657.03578043141
204,4,-4600,-4523.8503805693
205,5,-4600,-4528.22282430055
206,6,-4600,-4447.88008190184
207,7,-4600,-4521.89150383877
208,8,-4600,-4590.88295033994
209,9,-4600,-4528.49703016787
210,10,-4600,-4390.91910900388
211,11,-4600,-4463.05496404083
212,12,-4600,-4558.91845122963
213,13,-4600,-4447.95841895401
214,14,-4600,-4611.66668539551
215,15,-4600,-4478.0809439076
216,16,-4600,-4450.65950536306
217,17,-4600,-4550.82112247884
218,18,-4600,-4654.14616673349
219,19,-4600,-4472.73631698707
220,20,-4600,-4453.46973296222
221,21,-4600,-4646.28154027099
222,22,-4600,-4737.25544862145
223,23,-4600,-4575.12819747147
224,24,-4600,-4405.02801294108
225,25,-4600,-4444.71240699452
226,26,-4600,-4462.92248997498
227,27,-4600,-4453.45167538244
228,28,-4600,-4523.72045780638
229,29,-4600,-4554.37368223112
230,30,-4600,-4464.60734339036
231,31,-4600,-4566.49895652073
232,32,-4600,-4648.45562799767
233,33,-4600,-4488.52750855219
234,34,-4600,-4431.52860872882
235,35,-4600,-4587.10759933924
236,36,-4600,-4674.62116807488
237,37,-4600,-4589.68719612538
238,38,-4600,-4581.24318551949
239,39,-4600,-4557.97460871986
240,40,-4600,-4494.19580249265
241,41,-4600,-4541.37279969411
242,42,-4600,-4664.04325047012
243,43,-4600,-4555.58089105235
244,44,-4600,-4603.97732073564
245,45,-4600,-4519.57642284971
246,46,-4600,-4563.47337460771
247,47,-4600,-4517.04917357466
248,48,-4600,-4604.40749766542
249,49,-4600,-4561.43124226155
250,50,-4600,-4538.33792754523
251,1,-4500,-4372.80571971178
252,2,-4500,-4432.54381382256
253,3,-4500,-4549.63608565807
254,4,-4500,-4486.60340410032
255,5,-4500,-4627.20796423884
256,6,-4500,-4496.91948382466
257,7,-4500,-4445.27583167928
258,8,-4500,-4482.84927752821
259,9,-4500,-4392.52831453385
260,10,-4500,-4425.19670710138
261,11,-4500,-4553.35638900488
262,12,-4500,-4530.08719873077
263,13,-4500,-4430.07564971944
264,14,-4500,-4323.01186820076
265,15,-4500,-4406.26594182307
266,16,-4500,-4340.58984236382
267,17,-4500,-4456.22328735738
268,18,-4500,-4395.48324203526
269,19,-4500,-4421.56631070785
270,20,-4500,-4304.54865801441
271,21,-4500,-4413.49988615761
272,22,-4500,-4416.82282837932
273,23,-4500,-4330.65581922349
274,24,-4500,-4355.03913256032
275,25,-4500,-4372.11840093969
276,26,-4500,-4420.81690884364
277,27,-4500,-4479.85870112255
278,28,-4500,-4398.25607830704
279,29,-4500,-4407.34918505305
280,30,-4500,-4513.58694982981
281,31,-4500,-4442.19163374335
282,32,-4500,-4515.93566729115
283,33,-4500,-4477.17039542625
284,34,-4500,-4679.34847385669
285,35,-4500,-4489.03969674741
286,36,-4500,-4432.53132292269
287,37,-4500,-4753.88893064546
288,38,-4500,-4624.42483572552
289,39,-4500,-4543.90106949597
290,40,-4500,-4533.18473293294
291,41,-4500,-4627.77875726237
292,42,-4500,-4472.86110709301
293,43,-4500,-4405.27364830661
294,44,-4500,-4440.27768210988
295,45,-4500,-4404.83537709029
296,46,-4500,-4515.42689409867
297,47,-4500,-4523.83316389085
298,48,-4500,-4533.49694110836
299,49,-4500,-4640.03724456163
300,50,-4500,-4448.82138146293
301,1,-4400,-4561.27776883857
302,2,-4400,-4554.98018350546
303,3,-4400,-4549.74593002213
304,4,-4400,-4358.52026411998
305,5,-4400,-4531.45062489806
306,6,-4400,-4491.22173928067
307,7,-4400,-4500.09880619897
308,8,-4400,-4458.38795638734
309,9,-4400,-4466.51559654498
310,10,-4400,-4519.17315013577
311,11,-4400,-4500.61277597564
312,12,-4400,-4410.89516098511
313,13,-4400,-4437.18084156244
314,14,-4400,-4508.01025630412
315,15,-4400,-4506.43467669164
316,16,-4400,-4498.34281439283
317,17,-4400,-4531.43626656982
318,18,-4400,-4709.66499354465
319,19,-4400,-4572.16677021695
320,20,-4400,-4560.43255427736
321,21,-4400,-4586.59876544608
322,22,-4400,-4382.56676525905
323,23,-4400,-4520.89454315185
324,24,-4400,-4479.08603022597
325,25,-4400,-4664.41148409126
326,26,-4400,-4683.94464861241
327,27,-4400,-4554.26400187745
328,28,-4400,-4680.9377900326
329,29,-4400,-4466.75755867097
330,30,-4400,-4549.82015608476
331,31,-4400,-4515.22426431864
332,32,-4400,-4482.89606171749
333,33,-4400,-4509.08387843142
334,34,-4400,-4500.99072576262
335,35,-4400,-4561.0270279838
336,36,-4400,-4594.5718365104
337,37,-4400,-4429.64648214654
338,38,-4400,-4470.6734305319
339,39,-4400,-4698.76887987051
340,40,-4400,-4603.94764935965
341,41,-4400,-4516.26814687087
342,42,-4400,-4539.10378176777
343,43,-4400,-4532.22578213845
344,44,-4400,-4535.31698546172
345,45,-4400,-4664.94577466943
346,46,-4400,-4565.33832590698
347,47,-4400,-4478.86230086298
348,48,-4400,-4675.56804060457
349,49,-4400,-4552.5920750624
350,50,-4400,-4526.65911139026
351,1,-4300,-4345.35146737787
352,2,-4300,-4520.38555245105
353,3,-4300,-4413.75748039488
354,4,-4300,-4462.71192379213
355,5,-4300,-4388.36619416942
356,6,-4300,-4326.49296665913
357,7,-4300,-4334.36848499165
358,8,-4300,-4459.27433682509
359,9,-4300,-4424.43467732237
360,10,-4300,-4393.81872154867
361,11,-4300,-4293.35509638972
362,12,-4300,-4159.10587527985
363,13,-4300,-4408.1973570367
364,14,-4300,-4421.21045033434
365,15,-4300,-4356.23934156217
366,16,-4300,-4438.13682992089
367,17,-4300,-4421.36824421664
368,18,-4300,-4436.93317843421
369,19,-4300,-4535.28644126791
370,20,-4300,-4545.20658708967
371,21,-4300,-4513.84404878321
372,22,-4300,-4492.91979240996
373,23,-4300,-4442.59033320557
374,24,-4300,-4465.22216370543
375,25,-4300,-4376.80548782482
376,26,-4300,-4446.38487209964
377,27,-4300,-4562.36437164632
378,28,-4300,-4471.46487545532
379,29,-4300,-4519.2488997705
380,30,-4300,-4479.04204458362
381,31,-4300,-4454.43905440775
382,32,-4300,-4424.86601796927
383,33,-4300,-4399.30861505648
384,34,-4300,-4354.7432319872
385,35,-4300,-4384.44755618826
386,36,-4300,-4494.0294575639
387,37,-4300,-4445.98861101894
388,38,-4300,-4437.99612183683
389,39,-4300,-4683.73231719113
390,40,-4300,-4644.89476978458
391,41,-4300,-4471.87222191519
392,42,-4300,-4489.04812252494
393,43,-4300,-4459.65201423243
394,44,-4300,-4489.67794528299
395,45,-4300,-4537.22850892767
396,46,-4300,-4490.93272891239
397,47,-4300,-4628.19927613743
398,48,-4300,-4493.31688223124
399,49,-4300,-4553.10654032443
400,50,-4300,-4585.58665570368
401,1,-4200,-4570.65687691387
402,2,-4200,-4591.45227108417
403,3,-4200,-4511.78261010041
404,4,-4200,-4410.76869940126
405,5,-4200,-4525.26041801199
406,6,-4200,-4602.92113176373
407,7,-4200,-4656.72463026546
408,8,-4200,-4544.61754719234
409,9,-4200,-4520.33879496175
410,10,-4200,-4467.27712697628
411,11,-4200,-4517.09444919047
412,12,-4200,-4477.42919731157
413,13,-4200,-4453.53265338032
414,14,-4200,-4357.6326639134
415,15,-4200,-4442.26335973132
416,16,-4200,-4448.04833702011
417,17,-4200,-4410.25964165126
418,18,-4200,-4426.18157059165
419,19,-4200,-4429.69817814286
420,20,-4200,-4453.34566573879
421,21,-4200,-4450.34553325706
422,22,-4200,-4526.39839860737
423,23,-4200,-4483.07305709501
424,24,-4200,-4540.23488617288
425,25,-4200,-4459.82076078103
426,26,-4200,-4597.03904186892
427,27,-4200,-4682.28091854918
428,28,-4200,-4594.80979820481
429,29,-4200,-4604.0751412433
430,30,-4200,-4601.99951810832
431,31,-4200,-4457.67567789934
432,32,-4200,-4475.09355600835
433,33,-4200,-4409.7389052973
434,34,-4200,-4484.60263472049
435,35,-4200,-4590.04727803348
436,36,-4200,-4379.10132660271
437,37,-4200,-4424.58293500696
438,38,-4200,-4433.81295151364
439,39,-4200,-4486.96876446326
440,40,-4200,-4459.63068509468
441,41,-4200,-4432.62701537623
442,42,-4200,-4452.51520669065
443,43,-4200,-4425.6373568839
444,44,-4200,-4358.55426149172
445,45,-4200,-4305.34413539144
446,46,-4200,-4270.00750986869
447,47,-4200,-4280.75452304477
448,48,-4200,-4339.16606378868
449,49,-4200,-4467.59151582436
450,50,-4200,-4340.02983471391
451,1,-4100,-4204.59126677435
452,2,-4100,-4388.20304039356
453,3,-4100,-4317.61299219144
454,4,-4100,-4196.73413344256
455,5,-4100,-4330.00739136422
456,6,-4100,-4346.91787977412
457,7,-4100,-4272.30851866747
458,8,-4100,-4353.85219034079
459,9,-4100,-4324.25327886588
460,10,-4100,-4345.46668520066
461,11,-4100,-4367.28688412725
462,12,-4100,-4320.94825313176
463,13,-4100,-4241.01548707533
464,14,-4100,-4264.49690832409
465,15,-4100,-4369.3954449591
466,16,-4100,-4363.86335257478
467,17,-4100,-4286.30313502727
468,18,-4100,-4305.8046990665
469,19,-4100,-4291.25596016146
470,20,-4100,-4323.95608943403
471,21,-4100,-4249.01004855227
472,22,-4100,-4304.25935337738
473,23,-4100,-4319.763909407
474,24,-4100,-4319.38372507714
475,25,-4100,-4488.75703325918
476,26,-4100,-4279.56827969737
477,27,-4100,-4240.11468811969
478,28,-4100,-4293.40175660139
479,29,-4100,-4251.43006802084
480,30,-4100,-4433.9599642186
481,31,-4100,-4386.77779847915
482,32,-4100,-4360.6519846599
483,33,-4100,-4398.21328785112
484,34,-4100,-4519.47055377874
485,35,-4100,-4510.34905488158
486,36,-4100,-4620.77681347292
487,37,-4100,-4478.45619990701
488,38,-4100,-4468.69327518001
489,39,-4100,-4458.93266478238
490,40,-4100,-4568.50729468127
491,41,-4100,-4638.19217023184
492,42,-4100,-4513.11505743887
493,43,-4100,-4501.41572330312
494,44,-4100,-4463.04180798656
495,45,-4100,-4499.21665075776
496,46,-4100,-4530.92132364604
497,47,-4100,-4546.75732050948
498,48,-4100,-4504.43111916663
499,49,-4100,-4540.41781432303
500,50,-4100,-4519.48675041072
501,1,-4000,-4529.8483498196
502,2,-4000,-4568.8307568599
503,3,-4000,-4585.90968882608
504,4,-4000,-4610.22918688635
505,5,-4000,-4527.98654605079
506,6,-4000,-4611.32141188423
507,7,-4000,-4503.0846498344
508,8,-4000,-4653.62095745413
509,9,-4000,-4602.07471801192
510,10,-4000,-4465.65220556723
511,11,-4000,-4615.49990603438
512,12,-4000,-4660.88566692213
513,13,-4000,-4436.76984928826
514,14,-4000,-4579.98708138813
515,15,-4000,-4744.2769374324
516,16,-4000,-4583.43327976997
517,17,-4000,-4579.48202946669
518,18,-4000,-4654.33963402707
519,19,-4000,-4686.04010432314
520,20,-4000,-4488.78451606705
521,21,-4000,-4521.79000443261
522,22,-4000,-4618.87248626729
523,23,-4000,-4518.703144218
524,24,-4000,-4597.52822992462
525,25,-4000,-4563.83112377416
526,26,-4000,-4624.69145918185
527,27,-4000,-4622.34666924685
528,28,-4000,-4568.56747550975
529,29,-4000,-4705.38920302755
530,30,-4000,-4597.97864757455
531,31,-4000,-4478.83381649745
532,32,-4000,-4463.87020598193
533,33,-4000,-4569.82310970334
534,34,-4000,-4672.75562286231
535,35,-4000,-4580.98298677828
536,36,-4000,-4608.00174461617
537,37,-4000,-4560.91043391
538,38,-4000,-4545.25393637436
539,39,-4000,-4411.45902635449
540,40,-4000,-4585.81676849033
541,41,-4000,-4467.51605551164
542,42,-4000,-4596.24207877233
543,43,-4000,-4485.95891834976
544,44,-4000,-4488.20612775014
545,45,-4000,-4694.47532620449
546,46,-4000,-4575.47938048402
547,47,-4000,-4513.26528868423
548,48,-4000,-4420.07168569093
549,49,-4000,-4521.79326906739
550,50,-4000,-4604.10452964503
551,1,-3900,-4442.14856651168
552,2,-3900,-4574.30687366626
553,3,-3900,-4424.00172122386
554,4,-3900,-4322.90866561454
555,5,-3900,-4344.7994087207
556,6,-3900,-4375.37681993006
557,7,-3900,-4361.85510408192
558,8,-3900,-4395.63399637124
559,9,-3900,-4416.8963305776
560,10,-3900,-4425.40452926015
561,11,-3900,-4344.58616028145
562,12,-3900,-4413.011383392
563,13,-3900,-4434.30859426876
564,14,-3900,-4351.03596349814
565,15,-3900,-4345.52532221696
566,16,-3900,-4374.13535111134
567,17,-3900,-4439.49337450405
568,18,-3900,-4510.54573825822
569,19,-3900,-4285.03940362777
570,20,-3900,-4451.92029735766
571,21,-3900,-4452.4077170243
572,22,-3900,-4484.98492351009
573,23,-3900,-4421.85647177094
574,24,-3900,-4408.09906565087
575,25,-3900,-4307.02436605496
576,26,-3900,-4510.53825902275
577,27,-3900,-4483.63736276991
578,28,-3900,-4499.16917944205
579,29,-3900,-4506.79515596333
580,30,-3900,-4483.57254704257
581,31,-3900,-4517.9497347749
582,32,-3900,-4495.74120174514
583,33,-3900,-4437.51562545293
584,34,-3900,-4636.67738499488
585,35,-3900,-4578.48059541136
586,36,-3900,-4407.97085055541
587,37,-3900,-4389.58342048758
588,38,-3900,-4354.22844729983
589,39,-3900,-4387.07523114163
590,40,-3900,-4390.57216120284
591,41,-3900,-4356.4591948999
592,42,-3900,-4358.22221997863
593,43,-3900,-4267.23282179399
594,44,-3900,-4324.83998286448
595,45,-3900,-4413.46730736489
596,46,-3900,-4356.13486326759
597,47,-3900,-4290.85915784931
598,48,-3900,-4439.37741711675
599,49,-3900,-4393.2183290091
600,50,-3900,-4406.67469827568
601,1,-3800,-4337.26860281193
602,2,-3800,-4406.83390767464
603,3,-3800,-4418.76529552239
604,4,-3800,-4311.6292475205
605,5,-3800,-4443.04455887742
606,6,-3800,-4397.79526687455
607,7,-3800,-4405.62590169656
608,8,-3800,-4220.13371403286
609,9,-3800,-4340.3852245995
610,10,-3800,-4442.57914378013
611,11,-3800,-4476.47694238286
612,12,-3800,-4223.3036803908
613,13,-3800,-4283.3939471686
614,14,-3800,-4296.23533096074
615,15,-3800,-4285.1919028995
616,16,-3800,-4177.06093438042
617,17,-3800,-4333.46801068245
618,18,-3800,-4243.88944117508
619,19,-3800,-4296.15448707573
620,20,-3800,-4255.72388117798
621,21,-3800,-4394.08017970231
622,22,-3800,-4284.45281663112
623,23,-3800,-4376.90223382859
624,24,-3800,-4186.31871313066
625,25,-3800,-4268.79352189612
626,26,-3800,-4251.8853397073
627,27,-3800,-4309.74605247738
628,28,-3800,-4340.5734870401
629,29,-3800,-4385.4399553809
630,30,-3800,-4455.13016550916
631,31,-3800,-4477.76024481322
632,32,-3800,-4344.69403556722
633,33,-3800,-4394.2080616329
634,34,-3800,-4432.73535511766
635,35,-3800,-4245.15390235883
636,36,-3800,-4263.96800754777
637,37,-3800,-4299.2966090347
638,38,-3800,-4279.363498246
639,39,-3800,-4243.85562768943
640,40,-3800,-4244.70972524536
641,41,-3800,-4249.29306391951
642,42,-3800,-4322.84905235274
643,43,-3800,-4294.0231271775
644,44,-3800,-4279.7722745188
645,45,-3800,-4319.12163407253
646,46,-3800,-4388.96802959974
647,47,-3800,-4506.93416257953
648,48,-3800,-4375.67783192261
649,49,-3800,-4498.75441029448
650,50,-3800,-4448.42768884751
651,1,-3700,-4080.71245296534
652,2,-3700,-4222.82258859827
653,3,-3700,-4355.63994610656
654,4,-3700,-4326.69481224712
655,5,-3700,-4396.96740327033
656,6,-3700,-4346.83376430865
657,7,-3700,-4330.64567454758
658,8,-3700,-4313.16368713148
659,9,-3700,-4349.27297607704
660,10,-3700,-4184.07293908866
661,11,-3700,-4220.24230799663
662,12,-3700,-4312.49716529473
663,13,-3700,-4145.90945602836
664,14,-3700,-4132.00065578234
665,15,-3700,-4184.42861211774
666,16,-3700,-4149.61335777437
667,17,-3700,-4187.30805252732
668,18,-3700,-4213.86037668556
669,19,-3700,-4190.82244820468
670,20,-3700,-4097.67879478296
671,21,-3700,-4067.67869059644
672,22,-3700,-4217.89876609002
673,23,-3700,-4212.57843580145
674,24,-3700,-4122.86629895904
675,25,-3700,-4139.64359969277
676,26,-3700,-4168.31913659384
677,27,-3700,-4110.87547594077
678,28,-3700,-4300.76480285105
679,29,-3700,-4196.52359958327
680,30,-3700,-4131.77911756028
681,31,-3700,-4104.02708831113
682,32,-3700,-4152.85989947692
683,33,-3700,-4132.06646719126
684,34,-3700,-4189.14498866917
685,35,-3700,-4256.545023971
686,36,-3700,-4174.96712372799
687,37,-3700,-4162.53464096078
688,38,-3700,-4141.87747712806
689,39,-3700,-4226.95288369714
690,40,-3700,-4189.0495485974
691,41,-3700,-4254.44341955587
692,42,-3700,-4181.46285865822
693,43,-3700,-4341.37750765326
694,44,-3700,-4316.61874008729
695,45,-3700,-4441.18098112514
696,46,-3700,-4267.90240262694
697,47,-3700,-4309.17567098136
698,48,-3700,-4239.80690108699
699,49,-3700,-4462.34707942123
700,50,-3700,-4429.78530963147
701,1,-3600,-4178.1264283313
702,2,-3600,-4207.22913694792
703,3,-3600,-4164.56815647189
704,4,-3600,-4049.90485448025
705,5,-3600,-4261.88509478396
706,6,-3600,-4147.45088496305
707,7,-3600,-4225.04187930647
708,8,-3600,-4165.72393387233
709,9,-3600,-4217.43546566803
710,10,-3600,-4284.34588561761
711,11,-3600,-4328.96349362357
712,12,-3600,-4214.43798163081
713,13,-3600,-4355.17745653737
714,14,-3600,-4362.48823915726
715,15,-3600,-4225.70331033105
716,16,-3600,-4375.27298924044
717,17,-3600,-4196.45871894883
718,18,-3600,-4243.66304057416
719,19,-3600,-4368.46319915469
720,20,-3600,-4226.49611192841
721,21,-3600,-4407.40957933103
722,22,-3600,-4203.68309450223
723,23,-3600,-4093.96801590336
724,24,-3600,-4117.78134399213
725,25,-3600,-4227.57964197305
726,26,-3600,-4280.08684380523
727,27,-3600,-4307.16929005451
728,28,-3600,-4190.91681880706
729,29,-3600,-4057.45506791969
730,30,-3600,-4106.18838236982
731,31,-3600,-4136.59537054767
732,32,-3600,-4111.031885191
733,33,-3600,-4179.05700947584
734,34,-3600,-4065.84746907229
735,35,-3600,-4162.08641983771
736,36,-3600,-4150.60293723214
737,37,-3600,-4103.46372957742
738,38,-3600,-4227.49611665304
739,39,-3600,-4237.43790692983
740,40,-3600,-4157.40922730162
741,41,-3600,-4056.47988922806
742,42,-3600,-4210.17645543953
743,43,-3600,-4036.07933515463
744,44,-3600,-4029.80905234505
745,45,-3600,-4073.29446671119
746,46,-3600,-4022.71054783719
747,47,-3600,-4067.21680640229
748,48,-3600,-4180.84420744331
749,49,-3600,-3923.70057497674
750,50,-3600,-3968.23825193157
751,1,-3500,-3937.47932424527
752,2,-3500,-3962.28997398657
753,3,-3500,-3828.89962271105
754,4,-3500,-3745.47607200297
755,5,-3500,-3821.71875124571
756,6,-3500,-3776.08766892277
757,7,-3500,-3867.10768927604
758,8,-3500,-3750.21790541976
759,9,-3500,-3791.96526958885
760,10,-3500,-3860.70212351982
761,11,-3500,-3921.12609660846
762,12,-3500,-3880.36266220402
763,13,-3500,-3930.91732352308
764,14,-3500,-3977.84830806139
765,15,-3500,-3877.46578393704
766,16,-3500,-3958.57565292425
767,17,-3500,-3964.76363360562
768,18,-3500,-3836.51095373056
769,19,-3500,-3927.96137237919
770,20,-3500,-3959.97932917076
771,21,-3500,-3909.26831611914
772,22,-3500,-3818.97937717811
773,23,-3500,-3854.67557404137
774,24,-3500,-3822.92832853298
775,25,-3500,-3970.07714684647
776,26,-3500,-4026.19917911844
777,27,-3500,-4026.87660290587
778,28,-3500,-4039.69680085239
779,29,-3500,-3967.42457035563
780,30,-3500,-3972.28664108253
781,31,-3500,-4003.54833534511
782,32,-3500,-3925.4985399509
783,33,-3500,-3910.21127124231
784,34,-3500,-3827.59568812023
785,35,-3500,-3927.47680261187
786,36,-3500,-3980.01170773625
787,37,-3500,-4008.01116852618
788,38,-3500,-4009.08028834394
789,39,-3500,-3979.19921439564
790,40,-3500,-3915.98597133517
791,41,-3500,-3911.32996419597
792,42,-3500,-3960.71933045189
793,43,-3500,-4051.84997235258
794,44,-3500,-4040.77138368622
795,45,-3500,-4056.43287060111
796,46,-3500,-4084.18656001743
797,47,-3500,-4002.26386602239
798,48,-3500,-4100.58955040836
799,49,-3500,-4098.48145509424
800,50,-3500,-4159.68515288726
801,1,-3400,-4083.6616493559
802,2,-3400,-3988.01517425691
803,3,-3400,-4044.75789066421
804,4,-3400,-4209.78755487291
805,5,-3400,-4083.82730711838
806,6,-3400,-4069.4353269212
807,7,-3400,-4086.02045736943
808,8,-3400,-3947.96723449693
809,9,-3400,-4052.1149555419
810,10,-3400,-4059.24747917678
811,11,-3400,-4127.69684592752
812,12,-3400,-4063.27469605745
813,13,-3400,-4184.98849037896
814,14,-3400,-4055.0299243305
815,15,-3400,-4085.11051471701
816,16,-3400,-4141.59978791663
817,17,-3400,-4010.54675730083
818,18,-3400,-4098.33255522772
819,19,-3400,-4051.10675807012
820,20,-3400,-4186.30506771007
